region,name,tin,type,active,vatPayer,riskyPayer,debt,sanctions_json,taxOrganizationName,organizationType,taxAuthority_code,taxAuthority_name_az,taxAuthority_name_ru,taxAuthority_name_en,legalStatus_name,legalAddress,legitimate,legalForm_code,legalForm_name_az,legalForm_name_ru,legalForm_name_en,charterCapital,financialYearStart,financialYearEnd,voenRegisteredAt,stateRegisteredAt,extractDate,taxpayerStatus_code,taxpayerStatus_name_az,taxpayerStatus_name_ru,taxpayerStatus_name_en,legalStatus_riskyTaxpayer,legalStatus_debt,fetched_at
ABŞERON,"""ABŞERON LTD-2013"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",1000058691,legalEntity,True,True,False,0.0,[],İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Məhdud məsuliyyətli cəmiyyət,19,İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Главное управление местных доходов Государственной налоговой службы при Министерстве экономики города Баку,Baku city Main Department of Local Revenues of the State Tax Service under the Ministry of Economy,"""ABŞERON LTD-2013"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ","AZ1021, BAKI ŞƏHƏRİ SƏBAİL RAYONU, BADAMDAR ŞTQ, M.MÜŞVİQ, ev.31A",  ,21,Məhdud Məsuliyyətli Cəmiyyət,Общество с Ограниченной Ответственностью,Limited Liability Company,20.0,01.01,31.12,2004-07-17,2003-11-26,2026-02-24,A,Aktiv,Активный,Active,False,0.0,2026-02-24T16:24:54.612623+00:00
ABŞERON,MILLI GEOLOJI KƏŞFIYYAT XİDMƏTİNİNİ ABŞERON-QOBUSTAN VƏ XƏZƏRYANI GEOLOIİ AXTARIŞ EKSPEDİYASI,1000246821,legalEntity,False,False,False,0.0,[],İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Məhdud məsuliyyətli cəmiyyət,19,İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Главное управление местных доходов Государственной налоговой службы при Министерстве экономики города Баку,Baku city Main Department of Local Revenues of the State Tax Service under the Ministry of Economy,MILLI GEOLOJI KƏŞFIYYAT XİDMƏTİNİNİ ABŞERON-QOBUSTAN VƏ XƏZƏRYANI GEOLOIİ AXTARIŞ EKSPEDİYASI,"AZ1117, BAKI ŞƏHƏRİ BİNƏQƏDİ RAYONU, BİLƏCƏRİ Ə/V, NATƏVAN (BİLƏCƏRİ QƏS.), ev.16",FƏRMAN NƏSİBOV NƏSİB OĞLU,82,Digər qeyri kommersiya təşkilatı,Digər qeyri kommersiya təşkilatı,Other non-profit organization,0.0,.,.,2004-12-09,2002-03-13,2026-02-24,A,Aktiv,Активный,Active,False,0.0,2026-02-24T16:24:54.612702+00:00
ABŞERON,"""ABŞERON-ŞİN"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",1000407721,legalEntity,True,True,False,0.0,[],İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Məhdud məsuliyyətli cəmiyyət,2,2 saylı Ərazi Vergilər Baş İdarəsi,Главное управление территориальных налогов №2,Main Department of Territorial Taxes №2,"""ABŞERON-ŞİN"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ","AZ1106, BAKI ŞƏHƏRİ BİNƏQƏDİ RAYONU, NƏCƏF NƏRİMANOV, ev.21, m.9",ƏYASƏD ƏHMƏDOV BAYRAM OĞLU,21,Məhdud Məsuliyyətli Cəmiyyət,Общество с Ограниченной Ответственностью,Limited Liability Company,20.0,01.01,31.12,2005-02-15,2005-02-07,2026-02-24,A,Aktiv,Активный,Active,False,3.98,2026-02-24T16:24:54.612741+00:00
ABŞERON,"""ABŞERON LTD"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",1000467551,legalEntity,True,False,False,4.8,[],İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Məhdud məsuliyyətli cəmiyyət,19,İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Главное управление местных доходов Государственной налоговой службы при Министерстве экономики города Баку,Baku city Main Department of Local Revenues of the State Tax Service under the Ministry of Economy,"""ABŞERON LTD"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ","AZ1117, BAKI ŞƏHƏRİ BİNƏQƏDİ RAYONU, BİLƏCƏRİ ŞTQ, BİLƏCƏRİ ŞOSSESİ, ev.12",SƏNAN XIDIRZADƏ ZAUR OĞLU,21,Məhdud Məsuliyyətli Cəmiyyət,Общество с Ограниченной Ответственностью,Limited Liability Company,410000.0,01.01,31.12,2005-04-29,1994-08-31,2026-02-24,A,Aktiv,Активный,Active,False,4.8,2026-02-24T16:24:54.612775+00:00
ABŞERON,"BİNƏQƏDİ, YASAMAL, ABŞERON REGİONAL BİRLƏŞMİŞ HƏMKARLAR İTTİFAQI KOMİTƏSİ",1000491161,legalEntity,False,False,False,0.0,[],İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Məhdud məsuliyyətli cəmiyyət,19,İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Главное управление местных доходов Государственной налоговой службы при Министерстве экономики города Баку,Baku city Main Department of Local Revenues of the State Tax Service under the Ministry of Economy,"BİNƏQƏDİ, YASAMAL, ABŞERON REGİONAL BİRLƏŞMİŞ HƏMKARLAR İTTİFAQI KOMİTƏSİ","AZ1117, BAKI ŞƏHƏRİ BİNƏQƏDİ RAYONU, BİLƏCƏRİ ŞTQ, ",VALEH ƏLİYEV ZÖHRAB OĞLU,95,Büdcədən maliyyələşən,Финансирование из бюджета,Financing from the budget,,.,.,2005-05-31,1997-12-03,2026-02-24,A,Aktiv,Активный,Active,False,0.0,2026-02-24T16:24:54.612812+00:00
ABŞERON,"""ABŞERON-S"" FİRMASI",1000537171,legalEntity,False,False,False,0.0,[],İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Məhdud məsuliyyətli cəmiyyət,19,İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Главное управление местных доходов Государственной налоговой службы при Министерстве экономики города Баку,Baku city Main Department of Local Revenues of the State Tax Service under the Ministry of Economy,"""ABŞERON-S"" FİRMASI","AZ1116, BAKI ŞƏHƏRİ BİNƏQƏDİ RAYONU, MİKRORAYON 7, ev.26, m.29",ABBAS MƏMMƏDOV TEYMUR OĞLU,81,Digər kommersiya təşkilatı,Другая коммерческая организация,Other commercial organization,0.0,01.01,31.12,2005-07-21,1997-03-24,2026-02-24,S,Dayandırılmış,Приостановленный,Stopped,False,0.0,2026-02-24T16:24:54.612856+00:00
ABŞERON,ABŞERON BİOLOJİ LABARATORİYASI,1000592121,legalEntity,True,False,False,0.02,[],İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Məhdud məsuliyyətli cəmiyyət,19,İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Главное управление местных доходов Государственной налоговой службы при Министерстве экономики города Баку,Baku city Main Department of Local Revenues of the State Tax Service under the Ministry of Economy,ABŞERON BİOLOJİ LABARATORİYASI,"AZ1117, BAKI ŞƏHƏRİ BİNƏQƏDİ RAYONU, MƏHƏLLƏ 30, ev.KEÇİD 1259",MEHRƏLİ MEHRƏLİYEV ƏKBƏR OĞLU,82,Digər qeyri kommersiya təşkilatı,Digər qeyri kommersiya təşkilatı,Other non-profit organization,0.0,.,.,2005-10-24,2005-10-24,2026-02-24,A,Aktiv,Активный,Active,False,0.02,2026-02-24T16:24:54.612894+00:00
ABŞERON,"""ABŞERON İNŞAAT"" MƏNZİL-TİKİNTİ KOOPERATİVİ",1000980681,legalEntity,False,False,False,0.0,[],İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Məhdud məsuliyyətli cəmiyyət,19,İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Главное управление местных доходов Государственной налоговой службы при Министерстве экономики города Баку,Baku city Main Department of Local Revenues of the State Tax Service under the Ministry of Economy,"""ABŞERON İNŞAAT"" MƏNZİL-TİKİNTİ KOOPERATİVİ","AZ1147, BAKI ŞƏHƏRİ BİNƏQƏDİ RAYONU, ADİL MƏMMƏDOV 9 MKR, ev.16",ELÇİN EFENDİYEV MİRPAŞA OĞLU,4,Kooperativ,Кооператив,Cooperative,100.0,01.01,31.12,2006-10-28,2006-10-06,2026-02-24,S,Dayandırılmış,Приостановленный,Stopped,False,7.02,2026-02-24T16:24:54.612928+00:00
ABŞERON,“ABŞERON NƏQLİYYAT XİDMƏTLƏRİ” MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001615401,legalEntity,True,False,False,0.0,[],İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Məhdud məsuliyyətli cəmiyyət,19,İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Главное управление местных доходов Государственной налоговой службы при Министерстве экономики города Баку,Baku city Main Department of Local Revenues of the State Tax Service under the Ministry of Economy,“ABŞERON NƏQLİYYAT XİDMƏTLƏRİ” MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"AZ1102, BAKI ŞƏHƏRİ YASAMAL RAYONU, MOSKVA PROSPEKTİ, ev.MƏHƏLLƏ 3001, ""OSKAR"" BİZNES MƏRKƏZİ",ARNOUD ARTHUR GOVAERT .,21,Məhdud Məsuliyyətli Cəmiyyət,Общество с Ограниченной Ответственностью,Limited Liability Company,100.0,01.01,31.12,2009-03-30,,2026-02-24,A,Aktiv,Активный,Active,False,0.0,2026-02-24T16:24:54.612961+00:00
ABŞERON,"""ABŞERON BİO-TEXNOLOJİ"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",1002184751,legalEntity,False,False,False,0.0,[],İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Məhdud məsuliyyətli cəmiyyət,19,İqtisadiyyat Nazirliyi yanında Dövlət Vergi Xidmətinin Bakı şəhəri Lokal Gəlirlər Baş İdarəsi,Главное управление местных доходов Государственной налоговой службы при Министерстве экономики города Баку,Baku city Main Department of Local Revenues of the State Tax Service under the Ministry of Economy,"""ABŞERON BİO-TEXNOLOJİ"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ","AZ1147, BAKI ŞƏHƏRİ BİNƏQƏDİ RAYONU, MİR CƏLAL, ev.87, m.5",RÜSTƏM ƏLİYEV QƏDİM OĞLU,21,Məhdud Məsuliyyətli Cəmiyyət,Общество с Ограниченной Ответственностью,Limited Liability Company,130.0,01.01,31.12,2011-07-08,,2026-02-24,S,Dayandırılmış,Приостановленный,Stopped,False,0.19,2026-02-24T16:24:54.612995+00:00
